,pearson_ic,spearman_ic,ic_cumsum
2022-01-01 17:00:00+00:00,,,0.0
2022-01-02 05:00:00+00:00,,,0.0
2022-01-02 17:00:00+00:00,,,0.0
2022-01-03 05:00:00+00:00,,,0.0
2022-01-03 17:00:00+00:00,,,0.0
2022-01-04 05:00:00+00:00,,,0.0
2022-01-04 17:00:00+00:00,,,0.0
2022-01-05 05:00:00+00:00,,,0.0
2022-01-05 17:00:00+00:00,,,0.0
2022-01-06 05:00:00+00:00,,,0.0
2022-01-06 17:00:00+00:00,,,0.0
2022-01-07 05:00:00+00:00,,,0.0
2022-01-07 17:00:00+00:00,,,0.0
2022-01-08 05:00:00+00:00,,,0.0
2022-01-08 17:00:00+00:00,,,0.0
2022-01-09 05:00:00+00:00,,,0.0
2022-01-09 17:00:00+00:00,,,0.0
2022-01-10 05:00:00+00:00,,,0.0
2022-01-10 17:00:00+00:00,,,0.0
2022-01-11 05:00:00+00:00,,,0.0
2022-01-11 17:00:00+00:00,,,0.0
2022-01-12 05:00:00+00:00,,,0.0
2022-01-12 17:00:00+00:00,,,0.0
2022-01-13 05:00:00+00:00,,,0.0
2022-01-13 17:00:00+00:00,,,0.0
2022-01-14 05:00:00+00:00,,,0.0
2022-01-14 17:00:00+00:00,,,0.0
2022-01-15 05:00:00+00:00,,,0.0
2022-01-15 17:00:00+00:00,,,0.0
2022-01-16 05:00:00+00:00,,,0.0
2022-01-16 17:00:00+00:00,,,0.0
2022-01-17 05:00:00+00:00,,,0.0
2022-01-17 17:00:00+00:00,,,0.0
2022-01-18 05:00:00+00:00,,,0.0
2022-01-18 17:00:00+00:00,,,0.0
2022-01-19 05:00:00+00:00,,,0.0
2022-01-19 17:00:00+00:00,,,0.0
2022-01-20 05:00:00+00:00,,,0.0
2022-01-20 17:00:00+00:00,,,0.0
2022-01-21 05:00:00+00:00,,,0.0
2022-01-21 17:00:00+00:00,,,0.0
2022-01-22 05:00:00+00:00,,,0.0
2022-01-22 17:00:00+00:00,,,0.0
2022-01-23 05:00:00+00:00,,,0.0
2022-01-23 17:00:00+00:00,,,0.0
2022-01-24 05:00:00+00:00,,,0.0
2022-01-24 17:00:00+00:00,,,0.0
2022-01-25 05:00:00+00:00,,,0.0
2022-01-25 17:00:00+00:00,,,0.0
2022-01-26 05:00:00+00:00,0.07367161736228074,0.1194970605885928,0.07367161736228074
2022-01-26 17:00:00+00:00,0.09411519783122034,0.13100298753947393,0.16778681519350108
2022-01-27 05:00:00+00:00,0.11851872520483601,0.14217628126643414,0.2863055403983371
2022-01-27 17:00:00+00:00,0.08962830665158047,0.07222064408574358,0.3759338470499176
2022-01-28 05:00:00+00:00,0.08969359702810417,0.0958590892220229,0.4656274440780218
2022-01-28 17:00:00+00:00,0.08832405026820193,0.11365518566859402,0.5539514943462237
2022-01-29 05:00:00+00:00,0.08683364232125472,0.1091474612747228,0.6407851366674784
2022-01-29 17:00:00+00:00,0.08571798784239684,0.10489820846055108,0.7265031245098752
2022-01-30 05:00:00+00:00,0.08718627289927618,0.1239795300692999,0.8136893974091514
2022-01-30 17:00:00+00:00,0.08636748314249895,0.10822607430749322,0.9000568805516503
2022-01-31 05:00:00+00:00,0.1170647860762699,0.15719519377935998,1.0171216666279201
2022-01-31 17:00:00+00:00,0.10234657594638101,0.1368413929634221,1.1194682425743012
2022-02-01 05:00:00+00:00,0.08981065661035945,0.09937505916850514,1.2092788991846606
2022-02-01 17:00:00+00:00,0.09425381784118282,0.11005401520510742,1.3035327170258435
2022-02-02 05:00:00+00:00,0.08022861440125365,0.08390199017613888,1.3837613314270971
2022-02-02 17:00:00+00:00,0.06600851617549548,0.03187574981176019,1.4497698476025926
2022-02-03 05:00:00+00:00,0.06855299206835531,0.028704509336288382,1.518322839670948
2022-02-03 17:00:00+00:00,0.07008210944957466,0.04083727586050465,1.5884049491205228
2022-02-04 05:00:00+00:00,0.022662475163239642,0.0021629380292369437,1.6110674242837624
2022-02-04 17:00:00+00:00,-0.045277500310614886,-0.045252797322627276,1.5657899239731474
2022-02-05 05:00:00+00:00,-0.03966844466990128,-0.019909040462043632,1.526121479303246
2022-02-05 17:00:00+00:00,-0.04000661978049219,-0.021660914381714913,1.4861148595227538
2022-02-06 05:00:00+00:00,-0.04376707196593151,-0.04008750175223213,1.4423477875568222
2022-02-06 17:00:00+00:00,-0.04498574311516339,-0.044739194733938725,1.3973620444416588
2022-02-07 05:00:00+00:00,-0.05965975338258721,-0.07469005883822463,1.3377022910590717
2022-02-07 17:00:00+00:00,-0.06308286490793764,-0.07515929784360371,1.274619426151134
2022-02-08 05:00:00+00:00,-0.0566603005798353,-0.06517541834846222,1.2179591255712987
2022-02-08 17:00:00+00:00,-0.053249353310523606,-0.0588642167135691,1.164709772260775
2022-02-09 05:00:00+00:00,-0.05766915508717858,-0.08241358071699449,1.1070406171735965
2022-02-09 17:00:00+00:00,-0.056785873489790265,-0.07960870407106674,1.0502547436838061
2022-02-10 05:00:00+00:00,-0.05053016780091194,-0.06910816036833589,0.9997245758828942
2022-02-10 17:00:00+00:00,-0.008843984391410731,-0.04737916653518042,0.9908805914914834
2022-02-11 05:00:00+00:00,0.007068375776997236,-0.0062242600047694085,0.9979489672684807
2022-02-11 17:00:00+00:00,0.014901641770442528,0.021482746986786566,1.0128506090389233
2022-02-12 05:00:00+00:00,0.020663895273247534,0.046484572938678796,1.033514504312171
2022-02-12 17:00:00+00:00,0.022857031977912185,0.05877002954817535,1.0563715362900832
