time,price,target_notional,target_units,delta_units,traded_notional,cost,reason
2022-05-06 00:01:00+00:00,36525.5,100000.0,2.7378133085104928,2.7378133085104928,100000.0,70.0,
2022-05-06 12:01:00+00:00,35820.6,98000.11539883095,2.735859125721818,-0.001954182788674874,70.00000000000719,0.04900000000000504,
2022-05-07 00:01:00+00:00,36026.7,98563.9269646422,2.7358577656194494,-1.3601023685083646e-06,0.04899999999954029,3.42999999996782e-05,
2022-05-07 12:01:00+00:00,36033.1,98581.43642004218,2.735857764667547,-9.519025567783501e-10,3.4300000018649965e-05,2.4010000013054973e-08,
2022-05-08 02:06:00+00:00,34638.6,0.0,0.0,-2.735857764667547,94766.28276721328,66.3363979370493,stop_loss
2022-05-08 12:01:00+00:00,34760.9,94699.94636925224,2.7243237766931303,2.7243237766931303,94699.94636925224,66.28996245847657,
2022-05-09 00:01:00+00:00,34109.3,92858.48703390051,2.722380319558024,-0.0019434571351064633,66.2899624584869,0.04640297372094083,
2022-05-09 10:47:00+00:00,32914.6,0.0,0.0,-2.722380319558024,89606.05926612453,62.72424148628718,stop_loss
2022-05-09 12:01:00+00:00,33096.1,89543.28862166454,2.70555408708774,2.70555408708774,89543.28862166454,62.680302035165184,
2022-05-09 17:05:00+00:00,31358.3,0.0,0.0,-2.70555408708774,84841.57672912347,59.38910371038642,stop_loss
2022-05-10 00:01:00+00:00,30185.2,84719.50732337791,2.806657147323122,2.806657147323122,84719.50732337791,59.30365512636454,
2022-05-10 12:01:00+00:00,31662.6,88806.75893770672,2.8047841597881007,-0.0018729875350214087,59.30365512636885,0.0415125585884582,
2022-05-11 00:01:00+00:00,30970.6,86865.80678657476,2.8047828194021025,-1.3403859981941935e-06,0.041512558595673085,2.9058791016971158e-05,
2022-05-11 20:55:00+00:00,28490.9,0.0,0.0,-2.8047828194021025,79910.78682930337,55.93755078051236,stop_loss
2022-05-12 00:01:00+00:00,29142.6,79854.84924946408,2.7401415539266942,2.7401415539266942,79854.84924946408,55.89839447462485,
2022-05-12 04:24:00+00:00,27511.5,0.0,0.0,-2.7401415539266942,75385.40436085424,52.769783052597965,stop_loss
2022-06-16 00:01:00+00:00,22567.9,75276.73618332701,3.3355667201346604,3.3355667201346604,75276.73618332701,52.693715328328906,
2022-06-16 09:16:00+00:00,21437.4,0.0,0.0,-3.3355667201346604,71505.87800621477,50.05411460435034,stop_loss
2022-06-16 12:01:00+00:00,21134.1,71403.13017628208,3.3785744449151887,3.3785744449151887,71403.13017628208,49.982191123397456,
2022-06-17 00:01:00+00:00,20363.1,68748.26708812907,3.376119897664357,-0.002454547250831496,49.98219112340683,0.03498753378638478,
2022-06-17 12:01:00+00:00,21008.7,70927.85510652741,3.376118232281265,-1.6653830923196722e-06,0.0349875337716163,2.449127364013141e-05,
2022-06-18 00:01:00+00:00,20442.5,69016.29693891847,3.3761182310832076,-1.1980572089953512e-09,2.4491284494887466e-05,1.7143899146421228e-08,
2022-06-18 06:52:00+00:00,19768.0,0.0,0.0,-3.3761182310832076,66739.10519205286,46.717373634437,stop_loss
2022-06-18 12:01:00+00:00,19270.6,66692.38781840127,3.4608360828620426,3.4608360828620426,66692.38781840127,46.68467147288089,
2022-06-18 18:29:00+00:00,18285.5,0.0,0.0,-3.4608360828620426,63283.11819317388,44.298182735221715,stop_loss
2022-06-19 00:01:00+00:00,19013.0,63192.13533896578,3.323627798820059,3.323627798820059,63192.13533896578,44.234494737276044,
2022-06-19 05:24:00+00:00,18035.3,0.0,0.0,-3.323627798820059,59942.62444005941,41.95983710804158,stop_loss
2022-06-19 12:01:00+00:00,19706.6,59856.43010821409,3.0373798680753703,3.0373798680753703,59856.43010821409,41.89950107574986,
2022-06-20 00:01:00+00:00,20550.0,62376.25678787311,3.0353409629135335,-0.0020389051618368015,41.89950107574627,0.02932965075302239,
2022-06-20 12:01:00+00:00,20768.0,63037.9317881375,3.0353395506614747,-1.4122520588522036e-06,0.029329650758242565,2.0530755530769795e-05,
2022-06-23 12:01:00+00:00,20631.8,0.0,0.0,-3.0353395506614747,62624.51854133741,43.83716297893619,
2022-07-24 00:01:00+00:00,22455.2,62580.68135782773,2.786912668683767,2.786912668683767,62580.68135782773,43.80647695047941,
2022-07-25 23:50:00+00:00,21315.5,0.0,0.0,-2.786912668683767,59404.43698932884,41.58310589253019,stop_loss
2022-07-26 00:01:00+00:00,21253.9,59319.04740648583,2.7909723583194532,2.7909723583194532,59319.04740648583,41.52333318454008,
2022-07-26 12:01:00+00:00,21099.1,58845.48155223343,2.7890043438930303,-0.001968014426422915,41.52333318453972,0.029066333229177805,
2022-07-27 00:01:00+00:00,21271.9,59327.392436524926,2.7890029774737997,-1.3664192306528378e-06,0.0290663332325241,2.034643326276687e-05,
2022-07-27 12:01:00+00:00,21174.3,59055.185725577045,2.7890029765128976,-9.609020246159616e-10,2.0346427739825755e-05,1.4242499417878028e-08,
2022-08-26 23:19:00+00:00,20178.1,0.0,0.0,-2.7890029765128976,56276.7809603749,39.393746672262424,stop_loss
2022-08-27 00:01:00+00:00,20227.4,56237.38721368839,2.7802578291667928,2.7802578291667928,56237.38721368839,39.36617104958187,
2022-08-27 12:01:00+00:00,20212.7,56157.15125255005,2.7783102332963954,-0.0019475958703973895,39.36617104958132,0.02755631973470692,
2022-08-28 00:01:00+00:00,20019.2,55619.52066608746,2.7783088568018433,-1.3764945521188565e-06,0.027556319737777814,1.928942381644447e-05,
2022-08-28 12:01:00+00:00,20031.1,55652.582522193974,2.7783088558388696,-9.629737007799122e-10,1.9289422497692496e-05,1.3502595748384746e-08,
2022-09-01 12:01:00+00:00,20076.8,0.0,0.0,-2.7783088558388696,55779.55123690581,39.04568586583407,
2022-09-22 00:01:00+00:00,18488.0,55740.50555102647,3.014955947156343,3.014955947156343,55740.50555102647,39.018353885718525,
2022-09-22 12:01:00+00:00,19249.5,57997.37615090031,3.012928967032926,-0.002026980123417399,39.01835388572322,0.027312847720006254,
2022-09-23 00:01:00+00:00,19403.0,58459.833434492146,3.012927559371857,-1.4076610685975766e-06,0.027312847713998778,1.9118993399799143e-05,
2022-09-23 12:01:00+00:00,18843.0,56772.593982124905,3.0129275583572097,-1.0146474771488556e-09,1.9119002411915886e-05,1.3383301688341121e-08,
2022-09-25 00:01:00+00:00,18939.9,0.0,0.0,-3.0129275583572097,57064.54666252972,39.94518266377081,
2022-10-14 00:01:00+00:00,19381.0,57024.60147985257,2.9422940756334848,2.9422940756334848,57024.601479852565,39.917221035896794,
2022-10-14 12:01:00+00:00,19606.5,57648.17157287203,2.9402581579002898,-0.002035917733195003,39.91722103588783,0.027942054725121478,
2022-10-15 00:01:00+00:00,19185.7,56410.88299797286,2.940256701500225,-1.456400064991925e-06,0.027942054726915577,1.9559438308840903e-05,
2022-10-15 12:01:00+00:00,19165.6,56351.783818713266,2.9402567004796754,-1.020549422747763e-09,1.9559442016614523e-05,1.3691609411630167e-08,
2022-10-16 12:01:00+00:00,19147.3,0.0,0.0,-2.9402567004796754,56297.97712109449,39.408583984766146,
2022-11-09 00:01:00+00:00,18558.8,56258.568537096035,3.0313688674427244,3.0313688674427244,56258.568537096035,39.380997975967226,
2022-11-09 10:08:00+00:00,17624.8,0.0,0.0,-3.0313688674427244,53427.27001490453,37.399089010433165,stop_loss
2022-11-09 12:01:00+00:00,17803.3,53350.489927918126,2.9966629741631117,2.9966629741631117,53350.489927918126,37.34534294954269,
2022-11-09 16:29:00+00:00,16857.9,0.0,0.0,-2.9966629741631117,50517.44475214432,35.362211326501026,stop_loss
2022-11-10 00:01:00+00:00,15880.9,50444.73719786828,3.176440705367346,3.176440705367346,50444.73719786828,35.31131603850779,
