,pearson_ic,spearman_ic,ic_cumsum
2024-01-05 06:00:00+00:00,-0.12542533854467114,0.0358001841259597,-4.031976567665903
2024-01-05 07:00:00+00:00,-0.12205924347339775,0.04792204439829057,-4.154035811139301
2024-01-05 08:00:00+00:00,-0.12688128304416796,0.023090585746785176,-4.280917094183469
2024-01-05 09:00:00+00:00,-0.1347568352709364,0.0029969816949171357,-4.415673929454405
2024-01-05 10:00:00+00:00,-0.12222012754833608,0.013441727849661977,-4.537894057002741
2024-01-05 11:00:00+00:00,-0.12067157678337086,0.02155205320134971,-4.658565633786112
2024-01-05 12:00:00+00:00,-0.11780582650329291,0.038944674692788984,-4.776371460289405
2024-01-05 13:00:00+00:00,-0.1849768048955638,0.04696266267143717,-4.961348265184969
2024-01-05 14:00:00+00:00,0.0032756287079541767,0.1333169212256872,-4.958072636477015
2024-01-05 15:00:00+00:00,0.07307702590640369,0.17103281923002236,-4.884995610570611
2024-01-05 16:00:00+00:00,0.22290741736187156,0.1833025264398124,-4.6620881932087395
2024-01-05 17:00:00+00:00,0.22332051997915853,0.18540117382245588,-4.438767673229581
2024-01-05 18:00:00+00:00,0.22987186542096982,0.19199601518951961,-4.208895807808611
2024-01-05 19:00:00+00:00,0.21254621167908852,0.16613954831950903,-3.9963495961295226
2024-01-05 20:00:00+00:00,0.11971716423426762,0.10052287647424153,-3.876632431895255
2024-01-05 21:00:00+00:00,0.05501233732326473,0.06647028380683073,-3.82162009457199
2024-01-05 22:00:00+00:00,0.042007836488136385,0.040406738001999676,-3.7796122580838536
2024-01-05 23:00:00+00:00,0.02409182637077863,0.007593071134332855,-3.755520431713075
2024-01-06 00:00:00+00:00,0.0007518049593935388,-0.014003243052377289,-3.7547686267536813
2024-01-06 01:00:00+00:00,0.005575526460993948,-0.0006109377263918203,-3.7491931002926875
2024-01-06 02:00:00+00:00,0.0038402407915662387,-0.0055735800729178825,-3.7453528595011214
2024-01-06 03:00:00+00:00,0.009147284645395206,0.008004939481042556,-3.736205574855726
2024-01-06 04:00:00+00:00,-0.0015759108737919995,-0.011902987006965935,-3.737781485729518
2024-01-06 05:00:00+00:00,-0.016741142307827226,-0.04495073699581788,-3.7545226280373454
2024-01-06 06:00:00+00:00,-0.03211562787755059,-0.0728048145847484,-3.786638255914896
2024-01-06 07:00:00+00:00,-0.0032543746880274553,-0.03215794755443392,-3.7898926306029233
2024-01-06 08:00:00+00:00,-0.0027609896439290665,-0.03133819699400542,-3.792653620246852
2024-01-06 09:00:00+00:00,-0.0195128281713936,-0.05461276693192608,-3.8121664484182456
2024-01-06 10:00:00+00:00,-0.020166780493544183,-0.055861088885817284,-3.8323332289117897
2024-01-06 11:00:00+00:00,-0.03210903492244248,-0.07827768709910773,-3.864442263834232
2024-01-06 12:00:00+00:00,-0.03859386329835365,-0.09402998198348274,-3.903036127132586
2024-01-06 13:00:00+00:00,-0.03235458589002034,-0.08018455038478076,-3.9353907130226062
2024-01-06 14:00:00+00:00,-0.020167844104937212,-0.06204203394592244,-3.9555585571275436
2024-01-06 15:00:00+00:00,-0.024861057516149906,-0.07333524188580937,-3.9804196146436936
2024-01-06 16:00:00+00:00,0.005100009563425787,-0.0414553633779943,-3.975319605080268
2024-01-06 17:00:00+00:00,0.06882848408408357,-0.008682069777575557,-3.9064911209961846
2024-01-06 18:00:00+00:00,0.021246522343508246,-0.055779862465570575,-3.8852445986526765
2024-01-06 19:00:00+00:00,0.04265734989333272,-0.03191591718957767,-3.8425872487593438
2024-01-06 20:00:00+00:00,0.05651165897861996,-0.008595442422868612,-3.7860755897807237
2024-01-06 21:00:00+00:00,0.06351974875907412,0.011439199038938558,-3.7225558410216495
2024-01-06 22:00:00+00:00,0.07201680647280075,0.020478473129334786,-3.650539034548849
2024-01-06 23:00:00+00:00,0.09321640675272687,0.05269127335422941,-3.557322627796122
2024-01-07 00:00:00+00:00,0.06446291082915116,0.0038374545688761525,-3.492859716966971
2024-01-07 01:00:00+00:00,0.05694627977230001,-0.004430311495808623,-3.435913437194671
2024-01-07 02:00:00+00:00,0.05585309677912017,-0.004564352181938022,-3.3800603404155507
2024-01-07 03:00:00+00:00,0.11343581145652887,0.03967629579839371,-3.2666245289590217
2024-01-07 04:00:00+00:00,0.1825503317751258,0.10626596306083001,-3.084074197183896
2024-01-07 05:00:00+00:00,0.2089578055848458,0.1238541979332746,-2.8751163915990503
2024-01-07 06:00:00+00:00,0.21557385307366494,0.12301861945190275,-2.6595425385253852
2024-01-07 07:00:00+00:00,0.20767283321982907,0.10675097326299292,-2.451869705305556
2024-01-07 08:00:00+00:00,0.2196257777260974,0.12071108444181232,-2.2322439275794586
2024-01-07 09:00:00+00:00,0.20543427182084253,0.10195270840442598,-2.026809655758616
2024-01-07 10:00:00+00:00,0.2346398617029916,0.1422453796007886,-1.7921697940556243
2024-01-07 11:00:00+00:00,0.2742516947971587,0.19153207005577066,-1.5179180992584655
2024-01-07 12:00:00+00:00,0.23045694445227363,0.15090555850477494,-1.2874611548061918
2024-01-07 13:00:00+00:00,0.18173943008903348,0.10583329261775297,-1.1057217247171582
2024-01-07 14:00:00+00:00,0.17878596330323843,0.10151018664357869,-0.9269357614139198
2024-01-07 15:00:00+00:00,0.19699470308645786,0.10617771808624456,-0.7299410583274619
2024-01-07 16:00:00+00:00,0.11320533913425886,0.04763327407874173,-0.616735719193203
2024-01-07 17:00:00+00:00,0.17023674187889565,0.10471770750501783,-0.4464989773143074
2024-01-07 18:00:00+00:00,0.2354271247008497,0.16358773407160154,-0.21107185261345768
2024-01-07 19:00:00+00:00,0.09912745988353025,0.09832194081800838,-0.11194439272992743
