open_time,open,high,low,close,volume
1690059780000,29822.0,29822.1,29822.0,29822.1,0.15571939
1690059840000,29822.1,29823.9,29822.0,29823.9,0.51906604
1690059900000,29823.9,29827.7,29823.9,29827.6,0.00497907
1690059960000,29827.7,29827.7,29827.6,29827.7,0.21007802
1690060020000,29827.7,29827.7,29827.6,29827.7,0.20602338
1690060080000,29829.8,29829.8,29829.8,29829.8,0.01371146
1690060140000,29829.8,29829.9,29829.8,29829.9,0.12984689
1690060200000,29827.8,29827.8,29827.8,29827.8,0.00411996
1690060260000,29827.8,29827.8,29826.0,29826.0,2.05008494
1690060320000,29825.9,29829.9,29824.1,29829.9,3.56171198
1690060380000,29829.9,29829.9,29829.9,29829.9,0.00813785
1690060440000,29829.9,29830.0,29829.9,29830.0,0.15568646
1690060500000,29830.0,29830.0,29820.1,29820.1,0.81449818
1690060560000,29820.0,29820.1,29820.0,29820.1,0.81669729
1690060620000,29820.0,29820.1,29820.0,29820.0,0.01170877
1690060680000,29820.1,29820.1,29820.0,29820.0,0.04139434
1690060740000,29820.0,29820.1,29820.0,29820.0,0.22299506
1690060800000,29820.1,29820.1,29820.0,29820.0,0.76173865
1690060860000,29820.0,29820.1,29820.0,29820.1,1.10870105
1690060920000,29820.1,29823.7,29820.1,29823.7,2.12743881
1690060980000,29823.7,29823.7,29823.6,29823.6,0.42798837
1690061040000,29823.6,29823.7,29823.6,29823.7,0.25462369
1690061100000,29823.7,29823.7,29823.6,29823.6,0.80024494
1690061160000,29823.6,29823.6,29823.6,29823.6,0.0015341
1690061220000,29823.7,29827.9,29823.7,29827.9,2.25145097
1690061280000,29827.9,29834.3,29827.9,29834.3,1.88371677
1690061340000,29834.3,29835.7,29834.3,29835.7,1.00153851
1690061400000,29835.7,29835.7,29835.6,29835.7,0.00473269
1690061460000,29835.6,29835.7,29835.6,29835.7,0.10019907
1690061520000,29835.7,29835.7,29835.6,29835.6,0.39952375
1690061580000,29835.6,29835.6,29834.1,29834.1,0.72857982
1690061640000,29834.1,29834.2,29834.1,29834.1,0.03314141
1690061700000,29834.1,29834.1,29832.8,29832.9,0.0707813
1690061760000,29832.9,29832.9,29832.8,29832.8,1.31778663
1690061820000,29832.9,29832.9,29832.8,29832.8,0.05658869
1690061880000,29832.8,29832.8,29831.0,29831.0,0.03227565
1690061940000,29831.0,29831.1,29831.0,29831.0,0.05466628
1690062000000,29831.1,29831.1,29831.0,29831.0,0.04153377
1690062060000,29831.1,29831.1,29830.9,29830.9,2.35552109
1690062120000,29830.9,29831.0,29830.9,29830.9,0.00216485
1690062180000,29831.0,29831.0,29830.9,29830.9,0.35274766
1690062240000,29830.9,29830.9,29828.0,29828.8,5.39334877
1690062300000,29828.9,29828.9,29828.8,29828.9,0.03985301
1690062360000,29828.8,29831.0,29828.8,29831.0,0.14773206
1690062420000,29831.0,29831.0,29831.0,29831.0,0.00948723
1690062480000,29831.0,29832.3,29831.0,29832.3,0.42818599
1690062540000,29832.3,29832.3,29828.8,29830.5,4.66201379
1690062600000,29830.6,29830.6,29828.7,29828.7,3.14012361
1690062660000,29828.7,29828.7,29828.4,29828.5,0.03943001
1690062720000,29828.5,29828.5,29827.8,29827.8,0.05137815
1690062780000,29826.4,29826.4,29824.1,29824.2,0.03923588
1690062840000,29824.2,29824.2,29824.1,29824.2,0.01304124
1690062900000,29826.5,29826.5,29826.4,29826.5,0.06861729
1690062960000,29826.5,29826.5,29826.4,29826.5,2.38050664
1690063020000,29826.5,29826.5,29826.4,29826.5,0.05403795
1690063080000,29826.4,29826.5,29824.2,29824.2,0.88347376
1690063140000,29824.2,29824.2,29824.1,29824.2,0.11306147
1690063200000,29824.2,29826.3,29824.2,29826.3,0.16798843
1690063260000,29826.3,29832.3,29826.2,29832.3,2.65025361
1690063320000,29832.2,29832.2,29824.9,29825.0,0.53516124
1690063380000,29825.0,29825.0,29824.1,29824.1,0.0115891
1690063440000,29825.0,29831.2,29825.0,29827.9,0.00645533
1690063500000,29831.1,29831.1,29831.1,29831.1,0.00111717
1690063560000,29831.0,29832.5,29831.0,29832.4,0.13182769
1690063620000,29832.9,29832.9,29832.8,29832.8,0.01008769
1690063680000,29832.9,29834.0,29832.9,29834.0,0.04223073
1690063740000,29834.2,29834.2,29834.1,29834.2,0.01458752
1690063800000,29834.2,29834.2,29834.0,29834.0,0.0588729
1690063860000,29833.9,29834.0,29833.9,29833.9,2.43119291
1690063920000,29833.9,29833.9,29829.5,29829.5,0.11734519
1690063980000,29825.9,29825.9,29824.1,29824.1,0.00892564
1690064040000,29824.1,29824.1,29824.0,29824.0,0.01376742
1690064100000,29824.1,29824.1,29822.7,29822.7,0.08121142
1690064160000,29822.6,29822.6,29820.7,29820.7,0.06174999
1690064220000,29821.4,29824.0,29820.0,29820.0,0.49597788
1690064280000,29820.0,29820.0,29819.3,29819.4,3.12946783
1690064340000,29819.4,29819.4,29819.3,29819.3,0.02016455
1690064400000,29819.3,29819.3,29814.6,29814.6,0.82191412
1690064460000,29814.7,29814.7,29812.2,29812.2,0.15143035
1690064520000,29810.1,29812.2,29810.1,29812.2,0.04743674
1690064580000,29812.2,29812.2,29812.2,29812.2,0.0002275
1690064640000,29814.0,29814.0,29813.9,29813.9,0.11328471
1690064700000,29812.3,29812.3,29812.3,29812.3,0.21054635
1690064760000,29812.2,29812.2,29808.1,29808.1,0.51788287
1690064820000,29808.0,29808.0,29803.0,29803.0,0.43951421
1690064880000,29802.0,29803.6,29802.0,29803.6,0.10950603
1690064940000,29805.0,29813.9,29804.5,29813.9,3.98390313
1690065000000,29814.5,29814.6,29808.9,29809.0,0.17963125
1690065060000,29808.9,29808.9,29800.8,29804.7,1.67174357
1690065120000,29805.7,29809.8,29805.7,29809.8,0.2694549
1690065180000,29809.1,29809.9,29809.1,29809.9,0.2038264
1690065240000,29809.9,29809.9,29809.8,29809.8,0.42886554
1690065300000,29805.9,29805.9,29805.9,29805.9,0.59181492
1690065360000,29805.9,29806.0,29805.9,29806.0,0.13892499
1690065420000,29806.0,29806.0,29805.9,29805.9,0.05202885
