open_time,open,high,low,close,volume
1667440260000,20313.9,20314.4,20309.1,20314.4,1.23249365
1667440320000,20313.4,20327.1,20312.7,20327.1,4.50619717
1667440380000,20327.0,20330.1,20322.1,20325.8,2.52072291
1667440440000,20325.8,20332.4,20320.8,20320.8,5.98182692
1667440500000,20320.7,20325.5,20319.0,20323.5,0.53592891
1667440560000,20323.4,20323.4,20314.7,20314.8,1.19591123
1667440620000,20314.7,20315.5,20312.5,20312.5,0.17389399
1667440680000,20311.7,20311.7,20305.0,20307.1,0.47689153
1667440740000,20306.6,20306.9,20306.1,20306.9,0.24310766
1667440800000,20307.6,20312.5,20295.9,20304.6,15.7923838
1667440860000,20304.6,20306.5,20302.3,20306.5,1.00935579
1667440920000,20306.5,20316.8,20306.5,20316.8,2.19510488
1667440980000,20316.8,20330.0,20316.8,20327.8,2.09465405
1667441040000,20327.7,20327.8,20321.0,20327.0,1.45406323
1667441100000,20326.7,20327.5,20316.8,20317.0,10.19053722
1667441160000,20316.9,20317.0,20309.9,20314.4,0.57283329
1667441220000,20315.6,20337.1,20315.6,20331.6,7.21619238
1667441280000,20330.8,20332.7,20321.8,20321.8,23.07686812
1667441340000,20321.8,20336.4,20321.7,20336.4,10.97992641
1667441400000,20336.3,20336.3,20324.4,20325.4,2.0339614
1667441460000,20325.4,20326.2,20323.0,20323.1,0.51033641
1667441520000,20323.0,20323.0,20321.7,20321.8,1.87438053
1667441580000,20321.7,20321.7,20314.5,20321.5,1.75585868
1667441640000,20321.6,20327.3,20321.3,20327.3,0.86890538
1667441700000,20326.1,20326.1,20319.4,20319.4,0.54103384
1667441760000,20319.5,20319.5,20308.3,20308.4,0.49810819
1667441820000,20307.5,20307.5,20303.1,20304.5,0.9805101
1667441880000,20304.5,20309.8,20304.4,20309.6,0.65827329
1667441940000,20309.5,20309.5,20303.1,20303.1,0.36133717
1667442000000,20303.0,20308.1,20301.5,20302.2,1.13631142
1667442060000,20301.7,20302.3,20295.5,20302.2,1.70592428
1667442120000,20302.3,20303.5,20294.3,20303.0,1.0629602
1667442180000,20302.9,20316.2,20302.9,20315.0,3.50283641
1667442240000,20315.3,20315.3,20312.3,20313.3,0.38806417
1667442300000,20313.3,20313.3,20305.6,20308.2,0.97356072
1667442360000,20308.3,20310.2,20307.0,20310.2,4.15769101
1667442420000,20310.2,20321.0,20309.2,20321.0,6.46950804
1667442480000,20321.0,20326.4,20321.0,20325.8,2.86007582
1667442540000,20325.8,20329.0,20325.2,20328.4,2.17082822
1667442600000,20328.4,20329.0,20319.2,20319.2,1.03122334
1667442660000,20320.2,20331.4,20320.2,20329.5,10.18843171
1667442720000,20330.0,20337.2,20329.7,20331.0,1.55419614
1667442780000,20331.0,20331.0,20323.3,20323.3,2.952378
1667442840000,20323.3,20323.3,20314.2,20314.2,1.21533917
1667442900000,20314.2,20315.2,20312.9,20315.2,0.75900185
1667442960000,20316.3,20316.3,20313.3,20313.4,4.00748346
1667443020000,20314.5,20324.9,20314.5,20319.1,1.47187781
1667443080000,20319.0,20319.1,20308.7,20311.9,3.59061235
1667443140000,20311.9,20329.0,20309.2,20325.8,2.23785844
1667443200000,20325.8,20325.8,20318.0,20318.0,1.12128223
1667443260000,20318.0,20318.0,20312.9,20313.7,2.61225024
1667443320000,20312.1,20314.9,20312.1,20313.9,0.20626808
