open_time,open,high,low,close,volume
1697288760000,26896.0,26896.1,26889.1,26889.1,1.04256087
1697288820000,26889.1,26889.1,26888.0,26888.0,1.83980969
1697288880000,26888.0,26889.6,26888.0,26889.5,0.46086896
1697288940000,26889.5,26893.2,26889.5,26893.1,0.27286239
1697289000000,26893.1,26893.2,26889.9,26889.9,1.39575826
1697289060000,26889.9,26890.0,26889.9,26890.0,0.99161893
1697289120000,26890.0,26891.3,26889.9,26891.2,0.29565382
1697289180000,26891.3,26893.3,26891.2,26893.2,0.38276549
1697289240000,26893.2,26894.0,26893.2,26893.9,0.83776025
1697289300000,26894.0,26894.6,26893.9,26894.5,0.25523651
1697289360000,26894.6,26894.6,26894.5,26894.5,3.01398623
1697289420000,26894.6,26896.2,26894.5,26896.1,0.89551084
1697289480000,26896.1,26897.3,26896.1,26897.3,0.38149385
1697289540000,26897.3,26897.8,26897.2,26897.8,0.30689311
1697289600000,26897.8,26897.8,26897.7,26897.8,0.48542357
1697289660000,26897.8,26900.0,26897.8,26899.9,2.27830515
1697289720000,26899.9,26900.0,26899.9,26899.9,0.59829339
1697289780000,26900.0,26900.0,26899.9,26899.9,8.17958446
1697289840000,26899.9,26900.0,26899.9,26900.0,30.58379268
1697289900000,26900.0,26911.5,26899.9,26911.4,95.80328116
1697289960000,26911.4,26911.4,26896.3,26896.3,4.5736655
1697290020000,26896.2,26896.2,26881.0,26881.1,1.9488882
1697290080000,26881.1,26885.9,26881.1,26885.8,0.20818636
1697290140000,26885.8,26885.9,26884.3,26884.4,0.44161233
1697290200000,26884.3,26885.5,26884.3,26885.4,2.20860635
1697290260000,26885.4,26885.5,26885.4,26885.4,0.68002322
1697290320000,26885.4,26885.5,26881.3,26885.1,1.52720284
1697290380000,26885.0,26887.9,26885.0,26887.9,0.62434798
1697290440000,26887.9,26893.9,26887.9,26893.9,1.44368413
1697290500000,26893.8,26893.9,26888.4,26889.4,0.45539558
1697290560000,26889.4,26889.5,26889.4,26889.4,0.0516199
1697290620000,26889.4,26889.5,26889.4,26889.4,0.52149118
1697290680000,26889.4,26889.5,26889.4,26889.4,0.03356229
1697290740000,26889.5,26889.5,26889.4,26889.5,1.56196082
1697290800000,26889.4,26895.9,26889.4,26895.9,3.85267195
1697290860000,26895.8,26901.6,26895.8,26900.9,2.98156939
1697290920000,26900.9,26903.7,26900.9,26903.7,2.57159283
1697290980000,26903.6,26905.5,26903.6,26905.4,2.454191
1697291040000,26905.5,26907.3,26905.4,26905.6,2.67353007
1697291100000,26905.5,26912.0,26905.5,26911.9,3.37379361
1697291160000,26912.0,26912.0,26911.4,26911.5,1.52129463
1697291220000,26911.4,26911.5,26888.6,26888.7,4.59940471
1697291280000,26888.7,26889.2,26886.1,26889.1,2.03058518
1697291340000,26889.1,26893.0,26889.1,26889.9,2.24055607
1697291400000,26890.0,26890.0,26889.4,26889.4,0.21999187
1697291460000,26889.4,26893.3,26889.4,26893.3,0.50758725
1697291520000,26893.3,26893.3,26892.6,26892.6,0.13605763
1697291580000,26892.6,26893.2,26892.6,26893.1,0.20679653
1697291640000,26893.2,26895.3,26893.1,26895.3,0.45826505
1697291700000,26896.3,26896.4,26894.9,26895.0,0.3236342
1697291760000,26894.9,26895.0,26893.1,26893.1,0.41942437
1697291820000,26893.1,26894.9,26893.1,26894.8,0.398279
1697291880000,26894.8,26905.8,26894.8,26905.6,2.80692105
1697291940000,26905.6,26909.5,26905.6,26909.2,0.29577917
1697292000000,26909.3,26910.8,26909.2,26910.7,6.898663
1697292060000,26910.7,26910.8,26906.6,26906.6,1.95625112
1697292120000,26906.6,26906.7,26898.1,26898.2,0.97940037
1697292180000,26898.1,26902.7,26898.1,26902.7,0.17412325
1697292240000,26902.6,26902.7,26902.6,26902.7,0.11056999
1697292300000,26902.6,26902.7,26902.6,26902.6,0.20866977
1697292360000,26902.6,26902.7,26901.3,26901.3,1.50275676
1697292420000,26901.3,26901.4,26898.1,26898.1,1.45270414
1697292480000,26898.1,26904.0,26898.1,26903.2,1.41644873
1697292540000,26903.2,26903.3,26903.2,26903.2,0.32817061
1697292600000,26903.9,26903.9,26903.8,26903.8,0.79570222
1697292660000,26903.9,26903.9,26902.6,26902.6,1.05163523
1697292720000,26902.7,26902.7,26902.6,26902.6,0.55679043
1697292780000,26902.7,26902.7,26902.5,26902.5,4.4252448
1697292840000,26902.5,26902.6,26902.5,26902.5,0.03413525
1697292900000,26902.5,26905.4,26902.5,26905.4,3.23967835
1697292960000,26905.4,26907.9,26905.4,26907.9,0.77991373
1697293020000,26907.8,26907.9,26898.4,26898.5,9.56130075
1697293080000,26898.6,26898.6,26898.5,26898.5,0.53192177
1697293140000,26898.5,26898.5,26893.3,26894.8,6.67857828
1697293200000,26897.3,26897.3,26897.2,26897.2,0.70612778
1697293260000,26897.2,26897.3,26897.2,26897.2,0.2881019
1697293320000,26897.2,26897.3,26897.2,26897.3,1.7160086
1697293380000,26897.2,26897.3,26897.2,26897.2,0.14971396
