open_time,open,high,low,close,volume
1647155160000,39165.9,39165.9,39164.6,39164.6,0.08061224
1647155220000,39164.6,39178.0,39164.6,39167.2,4.77175652
1647155280000,39167.1,39167.6,39150.1,39150.1,10.03110003
1647155340000,39150.1,39150.8,39150.1,39150.8,0.19824689
1647155400000,39150.7,39150.8,39150.7,39150.8,0.03350478
1647155460000,39150.7,39150.7,39136.0,39136.1,0.5578021
1647155520000,39136.1,39141.3,39136.1,39141.3,0.78188368
1647155580000,39141.2,39197.9,39141.2,39187.9,9.45092431
1647155640000,39188.0,39188.0,39148.0,39148.0,0.91677639
1647155700000,39146.1,39146.1,39132.0,39135.8,0.54345146
1647155760000,39135.9,39138.7,39135.9,39136.8,0.34878938
1647155820000,39136.7,39142.0,39136.1,39138.7,0.46005224
1647155880000,39138.7,39138.7,39119.0,39119.1,0.11350216
1647155940000,39119.0,39119.0,39100.2,39116.1,0.97522828
1647156000000,39116.1,39132.0,39116.1,39132.0,0.37666198
1647156060000,39131.9,39132.0,39118.0,39118.0,0.15424205
1647156120000,39118.1,39122.0,39118.1,39120.6,0.28880636
1647156180000,39120.6,39124.0,39120.6,39123.9,0.14502979
1647156240000,39123.8,39151.4,39123.8,39151.4,0.63431048
1647156300000,39151.4,39151.4,39144.1,39147.9,0.1367968
1647156360000,39147.9,39151.4,39147.9,39151.4,0.82752414
1647156420000,39151.4,39154.0,39151.4,39151.5,0.24748661
1647156480000,39151.5,39151.5,39151.4,39151.5,0.15383596
1647156540000,39151.5,39151.5,39151.4,39151.4,0.03774715
1647156600000,39151.5,39174.1,39151.4,39173.1,2.8403531
1647156660000,39169.9,39177.8,39168.1,39174.8,0.13479999
1647156720000,39174.1,39174.1,39154.0,39154.1,0.54079922
1647156780000,39154.1,39157.6,39151.4,39151.4,1.20756512
1647156840000,39151.4,39151.5,39149.1,39149.1,3.09137007
1647156900000,39149.1,39149.1,39138.0,39148.9,1.95473074
1647156960000,39148.9,39149.0,39139.0,39149.0,0.77689389
1647157020000,39149.0,39164.7,39149.0,39152.1,1.22877851
1647157080000,39152.2,39154.0,39152.1,39154.0,0.20719419
1647157140000,39153.9,39160.0,39153.9,39154.0,1.01395876
1647157200000,39152.0,39160.0,39152.0,39160.0,0.13648205
1647157260000,39160.0,39160.0,39156.5,39156.5,0.11459234
1647157320000,39156.1,39156.7,39156.0,39156.6,0.17936477
1647157380000,39156.6,39157.5,39140.1,39140.1,0.90450784
1647157440000,39140.0,39140.0,39130.0,39130.0,0.51555687
1647157500000,39130.0,39130.1,39124.6,39124.6,0.68427898
1647157560000,39124.5,39124.6,39124.5,39124.6,0.2234205
1647157620000,39124.6,39124.6,39124.5,39124.5,0.35110577
1647157680000,39124.2,39126.6,39119.0,39126.6,0.73792082
1647157740000,39126.5,39126.6,39122.6,39122.6,0.13519186
1647157800000,39122.6,39124.0,39121.3,39122.9,0.42410681
1647157860000,39122.8,39122.9,39122.6,39122.7,0.09413
1647157920000,39122.7,39122.7,39120.0,39120.1,0.23667583
1647157980000,39120.0,39120.0,39108.0,39112.0,1.14938768
1647158040000,39112.0,39127.7,39106.0,39127.6,0.73396418
1647158100000,39127.7,39127.7,39081.4,39084.0,15.60830395
1647158160000,39084.0,39107.1,39067.8,39095.7,12.01784667
1647158220000,39095.7,39095.8,39087.4,39087.4,0.62087636
1647158280000,39087.5,39087.5,39087.4,39087.4,0.24926575
1647158340000,39087.5,39087.5,39066.0,39082.0,9.05369726
1647158400000,39083.9,39095.3,39083.9,39094.5,0.61749236
1647158460000,39094.0,39094.1,39090.0,39090.0,0.2353741
1647158520000,39090.0,39101.4,39090.0,39099.5,1.38180114
1647158580000,39102.0,39106.0,39101.9,39105.9,0.03638801
1647158640000,39106.0,39109.0,39106.0,39109.0,0.2521845
1647158700000,39110.0,39127.8,39108.0,39108.0,0.79628445
1647158760000,39106.1,39106.1,39090.2,39090.3,0.75224446
1647158820000,39090.2,39094.0,39076.1,39076.1,1.67386895
1647158880000,39076.0,39076.0,39074.2,39074.6,0.49610609
1647158940000,39074.6,39074.6,39056.4,39068.8,3.52357014
1647159000000,39068.9,39072.0,39068.9,39071.9,1.21969337
1647159060000,39071.9,39072.0,39071.9,39072.0,0.08557842
1647159120000,39071.9,39072.0,39065.0,39065.0,0.17276931
1647159180000,39065.1,39065.1,39050.0,39057.6,0.60810843
1647159240000,39057.6,39072.0,39057.6,39059.0,0.87183895
1647159300000,39058.1,39107.2,39058.0,39107.1,0.96392709
1647159360000,39107.1,39107.1,39086.0,39086.0,0.14851359
1647159420000,39084.1,39088.9,39077.3,39087.3,0.20017751
1647159480000,39087.3,39088.8,39066.1,39066.1,0.14228139
1647159540000,39066.0,39066.5,39066.0,39066.5,0.06756892
1647159600000,39066.4,39066.4,39060.2,39060.2,0.22957684
1647159660000,39060.2,39082.0,39060.2,39072.3,0.60864444
1647159720000,39072.3,39072.3,39064.0,39067.6,0.71483407
1647159780000,39067.5,39067.5,39064.0,39064.0,0.52836528
1647159840000,39064.0,39065.0,39053.0,39053.0,13.15136136
1647159900000,39053.0,39055.4,39053.0,39055.3,0.26856851
1647159960000,39055.3,39055.3,39032.0,39040.1,5.98095569
1647160020000,39040.0,39040.1,39040.0,39040.0,0.11080763
1647160080000,39039.1,39055.0,39039.1,39045.1,1.49867891
1647160140000,39045.0,39047.9,39045.0,39045.1,0.51671237
1647160200000,39045.1,39133.9,39045.1,39108.0,30.96200899
1647160260000,39106.1,39121.9,39106.1,39116.0,0.71303691
1647160320000,39116.1,39116.1,39104.0,39104.0,2.63969357
1647160380000,39102.1,39104.0,39100.0,39103.9,1.36976415
1647160440000,39104.0,39111.2,39100.1,39101.8,0.23677089
1647160500000,39101.8,39101.9,39092.3,39097.9,1.46624949
1647160560000,39097.9,39098.0,39097.9,39098.0,0.15720817
1647160620000,39097.9,39097.9,39076.0,39076.0,0.44924197
1647160680000,39076.0,39076.0,39072.0,39072.0,0.21161272
1647160740000,39072.0,39076.5,39060.4,39060.4,3.27029343
1647160800000,39068.4,39068.5,39068.4,39068.4,0.2387948
1647160860000,39068.4,39068.5,39068.4,39068.4,0.10223396
1647160920000,39068.4,39068.5,39068.4,39068.4,0.08094761
1647160980000,39068.5,39068.5,39046.0,39046.0,3.49244217
1647161040000,39046.1,39046.1,39046.0,39046.0,0.60460475
1647161100000,39046.1,39054.2,39046.0,39053.3,0.36616505
