open_time,open,high,low,close,volume
1689816240000,29977.0,29979.0,29976.0,29979.0,5.0944862
1689816300000,29978.9,29981.0,29978.9,29981.0,3.94618964
1689816360000,29981.0,29981.0,29980.9,29981.0,0.05771384
1689816420000,29980.9,29982.0,29980.9,29982.0,1.38983312
1689816480000,29982.0,29990.0,29982.0,29990.0,7.11799011
1689816540000,29989.9,29992.9,29989.9,29992.9,3.50461517
1689816600000,29993.0,29994.0,29992.9,29994.0,1.70030595
1689816660000,29994.0,29997.8,29993.9,29994.0,3.15940159
1689816720000,29994.0,29998.9,29994.0,29998.9,0.48176203
1689816780000,29998.9,30002.0,29998.9,30001.9,0.47306497
1689816840000,30001.9,30001.9,29983.0,29984.9,1.60286156
1689816900000,29984.8,29988.0,29984.8,29988.0,0.27601504
1689816960000,29988.0,29988.0,29987.9,29988.0,0.44386337
1689817020000,29988.0,29988.0,29987.9,29988.0,0.12423344
1689817080000,29988.0,29989.9,29988.0,29989.8,0.0360681
1689817140000,29989.8,29989.9,29989.8,29989.9,0.17447695
1689817200000,29989.9,29989.9,29989.8,29989.9,0.52714478
1689817260000,29989.9,30000.0,29989.8,30000.0,0.47284494
1689817320000,30000.0,30008.9,29999.9,30008.9,12.39140685
1689817380000,30010.0,30015.8,30010.0,30015.8,0.09089555
1689817440000,30015.8,30018.0,30015.8,30015.8,1.24458329
1689817500000,30015.8,30015.8,30007.6,30007.6,1.76146627
1689817560000,30007.6,30007.7,30001.0,30001.0,0.77293294
1689817620000,30001.1,30001.1,29999.0,30000.0,0.14799442
1689817680000,30004.8,30004.8,30004.7,30004.7,0.44653801
1689817740000,30004.7,30004.8,30004.7,30004.7,1.47990841
1689817800000,30004.8,30004.8,29999.0,29999.0,0.45323042
1689817860000,29999.0,29999.0,29998.1,29998.2,1.07820891
1689817920000,29998.2,30004.0,29998.1,30004.0,0.2153276
1689817980000,30003.9,30007.6,30003.9,30007.5,0.49896357
1689818040000,30006.4,30006.4,29998.8,29998.8,3.07610518
1689818100000,29998.7,29998.8,29992.2,29992.2,1.1142238
1689818160000,29992.3,29992.3,29992.2,29992.2,0.42505972
1689818220000,29992.2,29992.2,29989.0,29989.1,0.30400301
1689818280000,29989.1,29993.3,29989.1,29993.2,0.82145691
1689818340000,29993.3,29993.3,29989.0,29989.1,0.56675115
1689818400000,29990.0,29996.0,29990.0,29996.0,6.57255176
1689818460000,29996.0,30002.0,29996.0,30001.9,2.92287059
1689818520000,30002.0,30002.2,30001.9,30002.2,0.67023287
1689818580000,30002.2,30003.9,30002.1,30003.8,0.28254615
1689818640000,30003.9,30024.0,30003.9,30014.3,1.73521207
1689818700000,30017.4,30025.6,30017.3,30025.6,0.16010564
1689818760000,30025.6,30037.3,30025.6,30034.0,1.76205536
1689818820000,30034.0,30034.0,30026.6,30030.4,1.57335327
1689818880000,30030.3,30038.3,30030.3,30038.2,2.88238192
1689818940000,30038.3,30039.8,30038.3,30039.8,1.13986036
1689819000000,30039.9,30047.7,30028.0,30028.0,2.11705986
1689819060000,30028.0,30028.0,30013.8,30021.4,0.43772755
1689819120000,30021.4,30032.5,30021.4,30028.0,0.42116731
1689819180000,30026.1,30026.1,30022.0,30025.7,2.74396228
1689819240000,30025.8,30025.8,30025.7,30025.7,0.79452075
1689819300000,30025.8,30025.8,30017.5,30017.5,0.66324535
1689819360000,30017.6,30025.0,30017.6,30019.6,3.51018066
1689819420000,30019.6,30019.6,30013.7,30013.8,0.1357025
1689819480000,30013.7,30015.7,30008.9,30015.7,1.04114579
1689819540000,30015.6,30020.0,30015.6,30019.9,0.73722911
1689819600000,30019.9,30019.9,30015.6,30015.7,1.17008131
1689819660000,30012.7,30012.8,30009.1,30012.7,2.22737999
1689819720000,30012.7,30015.0,30012.7,30015.0,2.0466643
1689819780000,30015.0,30020.0,30007.5,30019.9,22.63515863
1689819840000,30015.3,30015.3,30012.4,30012.4,5.04403072
1689819900000,30012.4,30015.1,30012.4,30015.1,1.84424623
1689819960000,30015.1,30015.4,30015.1,30015.3,0.50618335
1689820020000,30015.3,30015.4,30015.3,30015.3,0.05930943
1689820080000,30015.4,30031.3,30015.4,30030.3,3.50281795
1689820140000,30030.4,30032.0,30028.2,30028.2,0.31170025
1689820200000,30028.2,30032.3,30025.2,30032.2,0.62218981
1689820260000,30032.3,30033.9,30023.5,30030.0,4.03313822
1689820320000,30029.9,30034.1,30028.0,30034.1,0.06453051
1689820380000,30034.0,30034.6,30034.0,30034.5,0.42174744
