open_time,open,high,low,close,volume
1716843240000,69695.5,69716.0,69695.5,69716.0,0.5128344
1716843300000,69716.2,69716.2,69659.2,69659.2,1.30840844
1716843360000,69659.1,69659.1,69636.1,69644.0,2.91255868
1716843420000,69644.0,69644.0,69640.8,69640.8,0.46316448
1716843480000,69640.9,69654.4,69640.8,69654.4,1.02371118
1716843540000,69654.4,69690.1,69647.1,69655.5,2.934619
1716843600000,69655.5,69659.2,69629.6,69659.1,1.68860442
1716843660000,69659.1,69659.1,69630.4,69643.9,3.45995645
1716843720000,69644.0,69654.2,69629.6,69651.9,0.74876235
1716843780000,69652.0,69652.0,69646.0,69646.0,0.38886031
1716843840000,69641.4,69683.2,69641.4,69679.8,3.10289318
1716843900000,69679.9,69679.9,69636.1,69647.9,0.74340478
1716843960000,69650.4,69650.9,69632.5,69636.8,0.47631197
1716844020000,69636.7,69643.1,69636.7,69643.1,0.28358803
1716844080000,69643.1,69643.1,69632.7,69633.9,0.6468
1716844140000,69634.0,69643.0,69634.0,69636.9,0.07430803
1716844200000,69636.9,69643.1,69636.9,69643.0,0.47134071
1716844260000,69643.0,69676.2,69643.0,69676.1,0.397234
1716844320000,69676.1,69797.0,69676.1,69780.0,13.41832285
1716844380000,69779.9,69779.9,69721.5,69730.6,1.92662331
1716844440000,69730.6,69730.6,69704.7,69729.9,1.14193543
1716844500000,69730.0,69737.6,69716.2,69723.9,0.13287635
1716844560000,69723.9,69723.9,69684.7,69684.7,0.59240963
1716844620000,69684.7,69703.1,69684.7,69703.1,0.08226521
1716844680000,69703.0,69703.0,69696.1,69696.2,0.07823824
1716844740000,69700.4,69707.7,69693.7,69693.7,0.47141193
1716844800000,69693.8,69693.8,69661.1,69661.1,0.69090521
1716844860000,69661.1,69661.1,69650.0,69650.0,0.03881528
1716844920000,69650.0,69658.2,69640.0,69658.1,0.73116091
1716844980000,69658.2,69665.3,69658.2,69660.4,0.4898427
1716845040000,69660.4,69688.0,69660.3,69688.0,0.67047651
1716845100000,69687.9,69727.7,69685.0,69721.1,0.43891141
1716845160000,69721.1,69721.2,69706.3,69706.3,0.12807446
1716845220000,69706.4,69706.4,69700.7,69701.2,0.08619706
1716845280000,69700.8,69700.8,69692.4,69692.4,0.05534873
1716845340000,69692.5,69692.5,69692.4,69692.4,0.24505794
1716845400000,69692.5,69692.7,69692.4,69692.6,0.04172472
1716845460000,69692.7,69733.0,69692.6,69733.0,0.43159183
1716845520000,69732.9,69734.6,69732.9,69734.6,0.07120413
1716845580000,69734.6,69751.4,69734.5,69747.4,0.67147897
1716845640000,69746.2,69746.2,69732.1,69739.9,0.82104119
