open_time,open,high,low,close,volume
1646151300000,43666.0,43821.0,43666.0,43792.7,12.09481267
1646151360000,43792.7,43792.7,43722.1,43754.4,3.62434135
1646151420000,43754.4,43775.9,43732.1,43767.3,3.30715186
1646151480000,43767.2,44062.5,43767.2,43932.1,84.09155734
1646151540000,43932.0,43983.9,43862.3,43913.9,6.76626801
1646151600000,43914.0,43970.6,43866.1,43936.1,2.93559633
1646151660000,43936.1,43936.2,43850.0,43850.0,2.70038568
1646151720000,43850.1,43880.0,43850.0,43863.9,3.50055085
1646151780000,43864.0,43937.9,43864.0,43905.2,0.87335079
1646151840000,43905.2,43928.0,43871.8,43879.9,0.72827172
1646151900000,43879.9,43879.9,43852.2,43856.4,1.14189787
1646151960000,43856.4,43858.1,43821.4,43846.1,4.52499191
1646152020000,43846.2,43846.2,43783.9,43806.0,0.9148148
1646152080000,43806.0,43806.0,43694.4,43712.3,4.65922665
1646152140000,43712.3,43712.3,43586.6,43618.0,9.74930417
1646152200000,43619.9,43631.9,43543.2,43568.2,7.44020823
1646152260000,43568.2,43628.0,43502.0,43521.8,6.88094558
1646152320000,43521.8,43521.8,43433.7,43460.0,17.51447468
1646152380000,43461.9,43490.0,43368.5,43402.0,4.71493012
1646152440000,43404.0,43461.5,43345.1,43427.9,9.95540853
1646152500000,43428.0,43451.9,43362.0,43382.1,6.5658059
1646152560000,43382.0,43447.9,43382.0,43440.0,6.11603512
1646152620000,43441.9,43501.5,43428.1,43480.0,11.67386871
1646152680000,43480.1,43509.9,43450.1,43470.0,3.15086095
1646152740000,43468.1,43519.3,43468.1,43496.0,4.11019616
1646152800000,43495.0,43556.1,43459.0,43511.3,3.41892778
1646152860000,43511.3,43527.0,43444.1,43470.0,5.44165513
1646152920000,43472.0,43511.9,43470.1,43510.9,0.68968474
1646152980000,43510.8,43510.8,43448.1,43450.1,1.85794713
1646153040000,43450.0,43498.0,43446.1,43476.7,4.32123885
1646153100000,43476.9,43477.9,43344.0,43344.0,5.23923894
1646153160000,43344.0,43397.7,43320.0,43356.0,4.22712484
1646153220000,43355.9,43355.9,43320.0,43332.4,3.28193645
1646153280000,43332.4,43384.8,43315.3,43369.2,1.81431391
1646153340000,43369.3,43373.9,43306.0,43344.0,9.97642788
1646153400000,43344.0,43368.0,43266.6,43267.4,9.352512
1646153460000,43267.4,43367.9,43267.4,43354.1,9.20247882
1646153520000,43355.0,43424.5,43350.0,43350.0,5.68682603
1646153580000,43350.1,43386.0,43320.0,43320.0,5.95660036
1646153640000,43320.0,43348.0,43306.0,43340.1,3.82093023
1646153700000,43340.0,43360.0,43261.9,43281.9,5.05962762
1646153760000,43282.0,43282.0,43226.0,43264.5,10.60542738
1646153820000,43257.4,43375.6,43257.4,43375.6,10.67647219
1646153880000,43375.6,43400.0,43370.0,43371.9,3.48164471
1646153940000,43371.9,43387.6,43358.1,43382.7,0.79747096
1646154000000,43382.7,43433.0,43365.9,43396.0,22.34277589
1646154060000,43396.0,43467.9,43375.6,43454.0,6.43361636
1646154120000,43453.9,43453.9,43380.1,43403.8,16.43342112
1646154180000,43404.0,43416.0,43372.0,43402.1,2.98541966
1646154240000,43402.0,43402.0,43276.0,43299.1,13.88048072
1646154300000,43299.2,43342.0,43299.2,43316.2,4.89605817
1646154360000,43316.1,43368.0,43292.5,43356.0,1.64271265
1646154420000,43355.9,43355.9,43294.0,43294.1,1.14709643
1646154480000,43294.0,43367.4,43254.0,43367.4,19.41234739
1646154540000,43367.4,43403.9,43350.1,43374.0,4.2588396
1646154600000,43372.7,43391.4,43360.0,43386.0,1.84157691
1646154660000,43385.9,43420.0,43379.1,43379.1,2.69107768
1646154720000,43379.1,43399.6,43348.1,43399.6,1.59470189
1646154780000,43399.5,43417.9,43376.0,43376.0,3.41145876
1646154840000,43374.1,43488.7,43374.1,43462.1,4.56201711
1646154900000,43468.1,43477.9,43426.1,43450.0,7.14647319
1646154960000,43448.1,43510.8,43432.1,43509.9,3.42303835
1646155020000,43510.0,43564.1,43502.9,43502.9,4.3431099
1646155080000,43503.0,43564.2,43497.6,43564.1,5.24429196
1646155140000,43564.1,43566.7,43512.3,43566.7,6.95077323
1646155200000,43557.7,43566.6,43514.3,43525.9,6.41357052
1646155260000,43525.9,43552.0,43516.8,43516.8,3.86919284
1646155320000,43516.8,43553.5,43481.0,43551.9,5.13466323
1646155380000,43551.9,43570.6,43511.3,43537.1,4.72338367
1646155440000,43537.0,43537.6,43483.6,43529.6,3.46499219
1646155500000,43529.5,43530.0,43487.5,43487.8,1.48243531
1646155560000,43487.8,43496.0,43458.1,43466.0,2.05830067
1646155620000,43465.9,43529.9,43440.0,43526.0,1.12481747
1646155680000,43526.0,43529.9,43484.0,43490.4,4.05613678
1646155740000,43490.5,43504.0,43465.4,43476.0,5.85885686
1646155800000,43477.0,43477.0,43432.2,43433.6,1.35527458
1646155860000,43433.5,43454.0,43392.9,43454.0,1.80196159
1646155920000,43453.9,43486.0,43432.0,43484.0,1.70127067
1646155980000,43483.2,43547.3,43483.2,43547.2,4.43317064
1646156040000,43547.3,43563.1,43520.1,43552.8,2.53831407
1646156100000,43552.8,43575.2,43540.4,43545.5,1.3697008
1646156160000,43545.6,43558.0,43516.1,43533.5,0.90786422
1646156220000,43533.4,43585.4,43526.0,43564.3,19.8140279
1646156280000,43564.3,43570.0,43558.0,43570.0,0.53782333
1646156340000,43569.9,43582.0,43562.0,43574.0,0.52678007
1646156400000,43573.6,43586.5,43568.0,43576.5,0.85382513
1646156460000,43576.9,43592.0,43572.0,43592.0,0.53784946
1646156520000,43591.9,43592.0,43564.2,43580.5,0.36680926
1646156580000,43580.6,43582.5,43522.0,43561.3,9.05767464
1646156640000,43560.0,43571.9,43553.7,43571.9,0.25760272
1646156700000,43572.0,43586.0,43566.0,43570.6,1.32163008
1646156760000,43570.6,43582.0,43555.3,43565.1,1.37470714
1646156820000,43565.0,43613.0,43565.0,43578.0,0.70202655
1646156880000,43578.9,43681.3,43578.9,43669.5,4.08620198
1646156940000,43669.6,43734.1,43656.0,43732.0,4.1742913
1646157000000,43732.0,43833.2,43732.0,43827.8,9.25242995
1646157060000,43813.4,43852.0,43786.0,43810.1,2.34180946
1646157120000,43810.1,43810.9,43750.1,43752.0,5.93638016
1646157180000,43750.1,43750.1,43700.0,43700.0,1.02758989
1646157240000,43700.0,43700.0,43662.0,43690.0,1.77719709
