open_time,open,high,low,close,volume
1686745260000,25997.0,25997.0,25984.4,25984.4,1.76947236
1686745320000,25984.4,25985.2,25977.0,25985.2,4.5825328
1686745380000,25985.1,25985.2,25984.1,25984.1,0.21141572
1686745440000,25984.2,25984.2,25984.1,25984.1,0.66054149
1686745500000,25984.2,25999.2,25984.1,25997.3,1.85933633
1686745560000,25997.4,26002.9,25997.4,26002.9,1.83505668
1686745620000,26003.0,26019.0,26003.0,26007.4,0.30182161
1686745680000,26007.3,26009.2,26006.2,26009.2,1.67997552
1686745740000,26008.3,26015.7,26008.0,26008.1,2.45330717
1686745800000,26008.0,26033.3,25995.4,26015.9,43.53660999
1686745860000,26012.9,26012.9,25967.0,25967.1,5.24719102
1686745920000,25967.0,26001.5,25967.0,26001.5,1.38643473
1686745980000,26001.5,26017.1,26000.9,26007.8,1.55140081
1686746040000,26007.8,26007.8,25980.0,25987.2,2.4531779
1686746100000,25987.1,25987.1,25972.0,25972.1,5.87315853
1686746160000,25972.1,25979.6,25971.0,25979.6,3.46815763
1686746220000,25979.6,25992.9,25979.6,25980.1,4.66522221
1686746280000,25980.1,25993.1,25975.0,25993.1,1.94737306
1686746340000,25993.2,26008.6,25991.4,25991.4,1.34004166
1686746400000,25990.9,25998.6,25987.3,25997.0,1.66810484
1686746460000,25998.5,25998.5,25987.3,25987.3,6.3337703
1686746520000,25987.4,25999.0,25987.3,25999.0,0.40238292
1686746580000,26000.0,26010.5,25997.4,26000.0,1.76075104
1686746640000,26000.0,26008.7,25998.4,26008.0,2.42951435
1686746700000,26008.0,26015.0,26001.8,26001.8,4.84580982
1686746760000,26001.8,26001.9,25991.1,25991.1,9.4482299
1686746820000,25991.1,26000.4,25990.0,26000.4,4.37560311
1686746880000,26000.4,26010.0,26000.4,26010.0,2.38468651
1686746940000,26011.9,26025.3,26011.9,26025.3,2.21347114
1686747000000,26025.2,26025.4,26017.1,26017.1,2.93874283
1686747060000,26017.2,26025.0,26017.2,26024.9,1.94299938
1686747120000,26025.5,26027.1,26024.9,26024.9,0.95819732
1686747180000,26025.0,26042.7,26025.0,26041.8,5.902147
1686747240000,26039.9,26051.5,26035.3,26043.6,6.50241399
1686747300000,26043.5,26047.0,26035.3,26045.0,0.96596139
1686747360000,26042.9,26083.6,26040.4,26040.4,23.2555698
1686747420000,26040.4,26040.4,26019.0,26024.0,14.64762705
1686747480000,26024.0,26028.3,26017.8,26017.8,3.04139145
1686747540000,26017.9,26025.9,26016.4,26024.3,3.77506726
1686747600000,26022.9,26029.9,26021.3,26028.3,2.15761253
1686747660000,26025.8,26025.8,26008.5,26008.5,5.67004228
1686747720000,26008.6,26013.4,26008.5,26010.2,0.86443039
1686747780000,26010.3,26010.3,26004.3,26004.3,2.68287068
1686747840000,26004.4,26007.8,26002.3,26002.4,2.94816984
1686747900000,26002.3,26003.3,26002.3,26002.4,0.47863513
1686747960000,26002.3,26003.3,26002.3,26003.3,0.51699716
1686748020000,26003.2,26007.5,26003.2,26007.5,1.52565374
1686748080000,26007.5,26007.5,25999.8,26002.2,1.34058336
